# Source: INSEE BDM series 010766683
# Title: Indices des prix de production des services francais pour l'ensemble des marches (BtoAll) - CPF 51.21 - Transport aerien de fret
# Base: 2021=100 | Frequency: quarterly | Adjustment: donnees brutes (NSA) | Champ: France metropolitaine
# Concept: SPPI producer price index, air FREIGHT (NACE/CPF 51.21)
# Range: 2006 Q1 to 2026 Q1 | Paru le 28/05/2026 | Retrieved 29/06/2026 from insee.fr
# Flags in source: (r) revised, (p) provisional. geo=FR, mode=air.
# NOTE: report's other 5 countries use Eurostat H51 (air transport division). This FR series is 51.21 (freight only). Document the level difference before merging.
date,geo,mode,value
2006-03-31,FR,air,61.6
2006-06-30,FR,air,62.7
2006-09-30,FR,air,62.6
2006-12-31,FR,air,61.4
2007-03-31,FR,air,59.1
2007-06-30,FR,air,60.9
2007-09-30,FR,air,61.9
2007-12-31,FR,air,66.8
2008-03-31,FR,air,66.2
2008-06-30,FR,air,71.7
2008-09-30,FR,air,75.0
2008-12-31,FR,air,67.0
2009-03-31,FR,air,58.8
2009-06-30,FR,air,55.4
2009-09-30,FR,air,56.4
2009-12-31,FR,air,60.1
2010-03-31,FR,air,60.4
2010-06-30,FR,air,63.4
2010-09-30,FR,air,62.7
2010-12-31,FR,air,64.4
2011-03-31,FR,air,66.2
2011-06-30,FR,air,69.9
2011-09-30,FR,air,69.1
2011-12-31,FR,air,70.1
2012-03-31,FR,air,70.4
2012-06-30,FR,air,70.9
2012-09-30,FR,air,70.2
2012-12-31,FR,air,72.0
2013-03-31,FR,air,73.2
2013-06-30,FR,air,73.8
2013-09-30,FR,air,74.0
2013-12-31,FR,air,73.3
2014-03-31,FR,air,72.7
2014-06-30,FR,air,72.2
2014-09-30,FR,air,72.3
2014-12-31,FR,air,73.6
2015-03-31,FR,air,74.2
2015-06-30,FR,air,72.6
2015-09-30,FR,air,70.2
2015-12-31,FR,air,71.8
2016-03-31,FR,air,68.7
2016-06-30,FR,air,68.6
2016-09-30,FR,air,67.2
2016-12-31,FR,air,66.5
2017-03-31,FR,air,66.1
2017-06-30,FR,air,65.7
2017-09-30,FR,air,65.2
2017-12-31,FR,air,66.4
2018-03-31,FR,air,66.3
2018-06-30,FR,air,65.9
2018-09-30,FR,air,64.4
2018-12-31,FR,air,64.5
2019-03-31,FR,air,65.9
2019-06-30,FR,air,64.8
2019-09-30,FR,air,64.1
2019-12-31,FR,air,64.3
2020-03-31,FR,air,66.3
2020-06-30,FR,air,102.1
2020-09-30,FR,air,90.7
2020-12-31,FR,air,94.7
2021-03-31,FR,air,99.7
2021-06-30,FR,air,99.5
2021-09-30,FR,air,96.3
2021-12-31,FR,air,104.5
2022-03-31,FR,air,104.8
2022-06-30,FR,air,112.7
2022-09-30,FR,air,107.4
2022-12-31,FR,air,103.3
2023-03-31,FR,air,91.6
2023-06-30,FR,air,83.1
2023-09-30,FR,air,76.0
2023-12-31,FR,air,84.1
2024-03-31,FR,air,80.4
2024-06-30,FR,air,80.5
2024-09-30,FR,air,81.0
2024-12-31,FR,air,90.6
2025-03-31,FR,air,90.2
2025-06-30,FR,air,82.4
2025-09-30,FR,air,80.6
2025-12-31,FR,air,86.3
2026-03-31,FR,air,88.8
