date,geo,mode,value
2015-03-31,DE,air,83.7
2015-06-30,DE,air,84.2
2015-09-30,DE,air,85.3
2015-12-31,DE,air,84.4
2016-03-31,DE,air,82.1
2016-06-30,DE,air,80.9
2016-09-30,DE,air,84.1
2016-12-31,DE,air,81.9
2017-03-31,DE,air,79.7
2017-06-30,DE,air,82.1
2017-09-30,DE,air,85.3
2017-12-31,DE,air,85.1
2018-03-31,DE,air,80.8
2018-06-30,DE,air,80.9
2018-09-30,DE,air,83.0
2018-12-31,DE,air,82.4
2019-03-31,DE,air,80.8
2019-06-30,DE,air,80.9
2019-09-30,DE,air,82.7
2019-12-31,DE,air,81.0
2020-03-31,DE,air,82.6
2020-06-30,DE,air,91.8
2020-09-30,DE,air,88.2
2020-12-31,DE,air,92.2
2021-03-31,DE,air,93.8
2021-06-30,DE,air,97.9
2021-09-30,DE,air,101.6
2021-12-31,DE,air,106.6
2022-03-31,DE,air,107.0
2022-06-30,DE,air,120.8
2022-09-30,DE,air,131.4
2022-12-31,DE,air,119.1
2023-03-31,DE,air,107.7
2023-06-30,DE,air,108.0
2023-09-30,DE,air,108.0
2023-12-31,DE,air,101.6
2005-03-31,ES,air,74.1
2005-06-30,ES,air,74.1
2005-09-30,ES,air,76.8
2005-12-31,ES,air,79.5
2006-03-31,ES,air,80.4
2006-06-30,ES,air,82.7
2006-09-30,ES,air,83.7
2006-12-31,ES,air,82.7
2007-03-31,ES,air,84.3
2007-06-30,ES,air,85.4
2007-09-30,ES,air,86.6
2007-12-31,ES,air,86.3
2008-03-31,ES,air,86.8
2008-06-30,ES,air,93.7
2008-09-30,ES,air,101.3
2008-12-31,ES,air,100.1
2009-03-31,ES,air,97.5
2009-06-30,ES,air,96.9
2009-09-30,ES,air,99.8
2009-12-31,ES,air,98.6
2010-03-31,ES,air,97.1
2010-06-30,ES,air,97.5
2010-09-30,ES,air,98.7
2010-12-31,ES,air,98.4
2011-03-31,ES,air,98.2
2011-06-30,ES,air,100.4
2011-09-30,ES,air,102.5
2011-12-31,ES,air,103.1
2012-03-31,ES,air,102.6
2012-06-30,ES,air,103.4
2012-09-30,ES,air,106.0
2012-12-31,ES,air,105.0
2013-03-31,ES,air,107.8
2013-06-30,ES,air,109.5
2013-09-30,ES,air,110.0
2013-12-31,ES,air,109.0
2014-03-31,ES,air,109.5
2014-06-30,ES,air,110.2
2014-09-30,ES,air,111.3
2014-12-31,ES,air,109.3
2015-03-31,ES,air,112.0
2015-06-30,ES,air,114.2
2015-09-30,ES,air,116.7
2015-12-31,ES,air,114.0
2016-03-31,ES,air,111.1
2016-06-30,ES,air,110.5
2016-09-30,ES,air,110.6
2016-12-31,ES,air,109.3
2017-03-31,ES,air,109.5
2017-06-30,ES,air,110.9
2017-09-30,ES,air,111.2
2017-12-31,ES,air,108.7
2018-03-31,ES,air,108.6
2018-06-30,ES,air,109.2
2018-09-30,ES,air,108.8
2018-12-31,ES,air,106.4
2019-03-31,ES,air,105.0
2019-06-30,ES,air,107.9
2019-09-30,ES,air,111.4
2019-12-31,ES,air,110.0
2020-03-31,ES,air,107.0
2020-06-30,ES,air,109.9
2020-09-30,ES,air,103.3
2020-12-31,ES,air,99.3
2021-03-31,ES,air,98.5
2021-06-30,ES,air,96.8
2021-09-30,ES,air,101.7
2021-12-31,ES,air,103.0
2022-03-31,ES,air,103.4
2022-06-30,ES,air,115.7
2022-09-30,ES,air,120.4
2022-12-31,ES,air,109.6
2023-03-31,ES,air,110.2
2023-06-30,ES,air,118.2
2023-09-30,ES,air,119.2
2023-12-31,ES,air,108.5
2006-03-31,FR,air,61.6
2006-06-30,FR,air,62.7
2006-09-30,FR,air,62.6
2006-12-31,FR,air,61.4
2007-03-31,FR,air,59.1
2007-06-30,FR,air,60.9
2007-09-30,FR,air,61.9
