geo,year,edge_pct
DE,2015,0.829
DE,2016,0.608
DE,2017,1.565
DE,2018,0.428
DE,2019,1.106
DE,2020,2.931
DE,2021,-0.45
DE,2022,10.914
DE,2023,3.151
ES,2005,-1.773
ES,2006,2.003
ES,2007,0.817
ES,2008,4.242
ES,2009,0.305
ES,2010,0.357
ES,2011,0.792
ES,2012,0.863
ES,2013,1.238
ES,2014,1.226
ES,2015,2.145
ES,2016,0.317
ES,2017,1.772
ES,2018,1.386
ES,2019,1.98
ES,2020,3.29
ES,2021,-1.5
ES,2022,10.287
ES,2023,8.2
FR,2006,1.853
FR,2007,-2.493
FR,2008,9.646
FR,2009,-6.155
FR,2010,1.036
FR,2011,1.961
FR,2012,-0.917
FR,2013,0.883
FR,2014,-1.238
FR,2015,-2.216
FR,2016,0.443
FR,2017,-1.215
FR,2018,-0.383
FR,2019,-1.003
FR,2020,17.976
FR,2021,-4.2
FR,2022,5.605
FR,2023,-9.916
IT,2010,1.399
IT,2011,3.845
IT,2012,-0.366
IT,2013,0.362
IT,2014,2.011
IT,2015,0.152
IT,2016,1.147
IT,2017,1.02
IT,2018,0.766
IT,2019,1.672
IT,2020,13.014
IT,2021,-0.35
IT,2022,13.867
IT,2023,7.337
NL,2015,2.492
NL,2016,1.406
NL,2017,3.214
NL,2018,3.666
NL,2019,6.25
NL,2022,7.303
NL,2023,4.588
PL,2006,1.316
PL,2007,0.066
PL,2008,-1.993
PL,2009,-0.769
PL,2010,0.446
PL,2011,0.744
PL,2012,-0.619
PL,2013,1.363
PL,2014,1.093
PL,2015,0.984
PL,2016,0.618
PL,2017,2.458
PL,2018,-0.153
PL,2019,0.5
PL,2020,-0.258
PL,2021,-0.95
PL,2022,2.593
PL,2023,4.331
